run_id,timestamp,model_alias,prompt_id,seed,baseline_image_path,refined_image_path,original_prompt,refined_prompt,critique_path,raw_response_path,baseline_clip_score,refined_clip_score,clip_score_delta,baseline_runtime_seconds,refined_runtime_seconds,success,error
feedback_20260315T090915Z,2026-03-15T09:09:18.156676Z,tiny_sd,smoke_robot_tea,7,results/smoke/feedback_loop/baseline_images/tiny_sd/smoke_robot_tea_7.png,results/smoke/feedback_loop/refined_images/tiny_sd/smoke_robot_tea_7.png,"A tiny robot serving tea in a sunlit kitchen, whimsical illustration.","A tiny robot serving tea in a sunlit kitchen, whimsical illustration. Add clearer subject detail, balanced composition, and cleaner lighting.",results/smoke/feedback_loop/critiques/tiny_sd/smoke_robot_tea_7_iter1.json,results/smoke/feedback_loop/critiques/tiny_sd/smoke_robot_tea_7_iter1.txt,0.1324811726808548,0.10996296256780624,-0.022518210113048553,1.2334652379940962,0.5390283960005036,True,
feedback_20260315T090915Z,2026-03-15T09:09:19.344930Z,tiny_sd,smoke_city_bike,7,results/smoke/feedback_loop/baseline_images/tiny_sd/smoke_city_bike_7.png,results/smoke/feedback_loop/refined_images/tiny_sd/smoke_city_bike_7.png,"A cyclist crossing a rainy city street at dusk, cinematic lighting.","A cyclist crossing a rainy city street at dusk, cinematic lighting. Add clearer subject detail, balanced composition, and cleaner lighting.",results/smoke/feedback_loop/critiques/tiny_sd/smoke_city_bike_7_iter1.json,results/smoke/feedback_loop/critiques/tiny_sd/smoke_city_bike_7_iter1.txt,0.13950853049755096,0.12596601247787476,-0.013542518019676208,0.5375097320065834,0.5318281939980807,True,
