run_id,phase,timestamp,model_alias,model_id,prompt_id,prompt,prompt_category,seed,image_index,width,height,scheduler,inference_steps,guidance_scale,device,precision,runtime_seconds,peak_gpu_memory_mb,process_memory_mb,image_path,clip_score,sharpness_score,success,error,metadata_path,extra
sr_source_generation_20260315T091838Z,sr_source_generation,2026-03-15T09:18:39.873640Z,tiny_sd,hf-internal-testing/tiny-stable-diffusion-pipe,single_object_red_chair,"A studio product photo of a bright red modern chair on a seamless white background, soft shadows, centered composition.",single object,101,0,384,384,EulerAncestralDiscreteScheduler,4,0.0,cpu,float32,4.157837948005181,,951.3046875,/workspace/results/super_resolution/source_generation/images/tiny_sd/single_object_red_chair_101_0.png,0.1651880443096161,,True,,/workspace/results/super_resolution/source_generation/metadata/tiny_sd/single_object_red_chair_101_0.json,"{'scheduler': 'EulerAncestralDiscreteScheduler', 'requested_model_alias': 'tiny_sd', 'requested_model_id': 'hf-internal-testing/tiny-stable-diffusion-pipe', 'load_error': None}"
sr_source_generation_20260315T091838Z,sr_source_generation,2026-03-15T09:18:46.661489Z,tiny_sd,hf-internal-testing/tiny-stable-diffusion-pipe,multi_object_breakfast_table,"A wooden breakfast table with a blue ceramic mug, a croissant on a white plate, a folded newspaper, and a vase with yellow flowers, morning sunlight.",multi-object,101,0,384,384,EulerAncestralDiscreteScheduler,4,0.0,cpu,float32,4.25077313699876,,1447.09765625,/workspace/results/super_resolution/source_generation/images/tiny_sd/multi_object_breakfast_table_101_0.png,0.12947100400924683,,True,,/workspace/results/super_resolution/source_generation/metadata/tiny_sd/multi_object_breakfast_table_101_0.json,"{'scheduler': 'EulerAncestralDiscreteScheduler', 'requested_model_alias': 'tiny_sd', 'requested_model_id': 'hf-internal-testing/tiny-stable-diffusion-pipe', 'load_error': None}"
sr_source_generation_20260315T091838Z,sr_source_generation,2026-03-15T09:18:50.987548Z,tiny_sd,hf-internal-testing/tiny-stable-diffusion-pipe,scene_composition_city_rain,"A rainy neon-lit city street at night with pedestrians under umbrellas, reflections on wet pavement, cinematic wide shot.",scene composition,101,0,384,384,EulerAncestralDiscreteScheduler,4,0.0,cpu,float32,4.1680887810071,,1448.15234375,/workspace/results/super_resolution/source_generation/images/tiny_sd/scene_composition_city_rain_101_0.png,0.12195158004760742,,True,,/workspace/results/super_resolution/source_generation/metadata/tiny_sd/scene_composition_city_rain_101_0.json,"{'scheduler': 'EulerAncestralDiscreteScheduler', 'requested_model_alias': 'tiny_sd', 'requested_model_id': 'hf-internal-testing/tiny-stable-diffusion-pipe', 'load_error': None}"
sr_source_generation_20260315T091838Z,sr_source_generation,2026-03-15T09:18:55.219217Z,tiny_sd,hf-internal-testing/tiny-stable-diffusion-pipe,human_portrait_editorial,"An editorial portrait of a young woman wearing a tailored navy blazer, natural skin texture, soft window light, shallow depth of field.",human portrait,101,0,384,384,EulerAncestralDiscreteScheduler,4,0.0,cpu,float32,4.172846842993749,,1449.1953125,/workspace/results/super_resolution/source_generation/images/tiny_sd/human_portrait_editorial_101_0.png,0.10016176104545593,,True,,/workspace/results/super_resolution/source_generation/metadata/tiny_sd/human_portrait_editorial_101_0.json,"{'scheduler': 'EulerAncestralDiscreteScheduler', 'requested_model_alias': 'tiny_sd', 'requested_model_id': 'hf-internal-testing/tiny-stable-diffusion-pipe', 'load_error': None}"
